State, Total, Total Passed, % Passed,Num Black, Black Passed, % Black Passed, % Black,Num Hispanic, Hisp Passed, % Hisp Passed, % Hisp,Num Asian, Asian Passed, % Asian Passed, % Asian,Num White, White Passed, % White Passed, % White,Num PI, PI Passed, % PI Passed, % PI,Num NA, NA Passed, % NA Passed, % NA,Num 2+, 2+ Passed, % 2+ Passed, % 2+,Num Other, Other Passed, % Other Passed, % Other,Num NR, NR Passed, % NR Passed, % NR,Fem Total, Fem Passed, % Fem Passed, % Fem,Num Black Fem, Fem Black Passed, % Fem Black Passed, % Fem Black,Num Hispanic Fem, Fem Hisp Passed, % Fem Hisp Passed, % Fem Hisp,Num Asian Fem, Fem Asian Passed, % Fem Asian Passed, % Fem Asian,Num White Fem, Fem White Passed, % Fem White Passed, % Fem White,Num PI Fem, Fem PI Passed, % Fem PI Passed, % Fem PI,Num NA Fem, Fem NA Passed, % Fem NA Passed, % Fem NA,Num 2+ Fem, Fem 2+ Passed, % Fem 2+ Passed, % Fem 2+,Num Other Fem, Fem Other Passed, % Fem Other Passed,% Fem Other,Num NR Fem, Fem NR Passed, % Fem NR Passed,% Fem NR,Male Total, Male Passed, % Male Passed, % Male,Num Black Male, Male Black Passed, % Male Black Passed, % Male Black,Num Hispanic Male, Male Hisp Passed, % Male Hisp Passed, % Male Hisp,Num Asian Male, Male Asian Passed, % Male Asian Passed, % Male Asian,Num White Male, Male White Passed, % Male White Passed, % Male White,Num PI Male, Male PI Passed, % Male PI Passed, % Male PI,Num NA Male, Male NA Passed, % Male NA Passed, % Male NA,Num 2+ Male, Male 2+ Passed, % Male 2+ Passed, % Male 2+,Num Other Male, Male Other Passed, % Male Other Passed, % Male OtherNum NR Male,Num Male NR, Male NR Passed, % Male NR Passed, % Male NR,
Alabama,335,189,56.42,35,13,37.14,10.45,18,11,61.11,5.37,77,49,63.64,22.99,173,98,56.65,51.64,0,0,0,0,2,0,0,0.6,19,11,57.89,5.67,0,0,0,0,11,5,45.45,3.28,87,46,52.87,25.97,11,6,54.55,3.28,3,0,0,0.9,30,18,60,8.96,32,13,40.62,9.55,0,0,0,0,0,0,0,0,9,6,66.67,2.69,0,0,0,0,2,0,0,0.6,246,141,57.32,73.43,24,7,29.17,7.16,15,8,53.33,4.48,47,31,65.96,14.03,139,83,59.71,41.49,0,0,0,0,2,0,0,0.6,10,5,50,2.99,0,0,0,0,9,5,55.56,2.69, 
Alaska,39,28,71.79,0,0,0,0,2,0,0,5.13,2,0,0,5.13,29,21,72.41,74.36,0,0,0,0,1,0,0,2.56,4,0,0,10.26,0,0,0,0,1,0,0,2.56,6,4,66.67,15.38,0,0,0,0,0,0,0,0,1,0,0,2.56,3,0,0,7.69,0,0,0,0,0,0,0,0,2,0,0,5.13,0,0,0,0,0,0,0,0,33,24,72.73,84.62,0,0,0,0,2,0,0,5.13,1,0,0,2.56,26,19,73.08,66.67,0,0,0,0,1,0,0,2.56,2,0,0,5.13,0,0,0,0,1,0,0,2.56, 
Arizona,627,370,59.01,15,4,26.67,2.39,97,39,40.21,15.47,188,135,71.81,29.98,269,166,61.71,42.9,0,0,0,0,7,3,42.86,1.12,32,16,50,5.1,0,0,0,0,19,7,36.84,3.03,148,90,60.81,23.6,4,0,0,0.64,19,6,31.58,3.03,54,34,62.96,8.61,57,40,70.18,9.09,0,0,0,0,2,0,0,0.32,11,8,72.73,1.75,0,0,0,0,1,0,0,0.16,477,279,58.49,76.08,11,3,27.27,1.75,77,33,42.86,12.28,134,101,75.37,21.37,211,125,59.24,33.65,0,0,0,0,5,3,60,0.8,21,8,38.1,3.35,0,0,0,0,18,6,33.33,2.87, 
Arkansas,454,194,42.73,24,6,25,5.29,52,24,46.15,11.45,64,30,46.88,14.1,284,121,42.61,62.56,1,0,0,0.22,5,0,0,1.1,15,7,46.67,3.3,0,0,0,0,9,6,66.67,1.98,79,27,34.18,17.4,6,1,16.67,1.32,7,2,28.57,1.54,12,5,41.67,2.64,50,17,34,11.01,0,0,0,0,0,0,0,0,2,0,0,0.44,0,0,0,0,2,0,0,0.44,372,165,44.35,81.94,18,5,27.78,3.96,45,22,48.89,9.91,52,25,48.08,11.45,231,102,44.16,50.88,1,0,0,0.22,5,0,0,1.1,13,6,46.15,2.86,0,0,0,0,7,5,71.43,1.54, 
California,13089,8951,68.39,166,64,38.55,1.27,1986,700,35.25,15.17,6802,5198,76.42,51.97,2616,1824,69.72,19.99,24,12,50,0.18,34,18,52.94,0.26,744,537,72.18,5.68,0,0,0,0,717,598,83.4,5.48,3593,2474,68.86,27.45,35,11,31.43,0.27,539,157,29.13,4.12,2044,1584,77.5,15.62,519,364,70.13,3.97,6,1,16.67,0.05,6,4,66.67,0.05,224,170,75.89,1.71,0,0,0,0,220,183,83.18,1.68,9468,6461,68.24,72.34,131,53,40.46,1,1444,542,37.53,11.03,4747,3606,75.96,36.27,2090,1456,69.67,15.97,18,11,61.11,0.14,28,14,50,0.21,518,366,70.66,3.96,0,0,0,0,492,413,83.94,3.76, 
Colorado,971,642,66.12,20,14,70,2.06,80,45,56.25,8.24,193,140,72.54,19.88,581,387,66.61,59.84,3,0,0,0.31,1,0,0,0.1,71,38,53.52,7.31,0,0,0,0,22,16,72.73,2.27,243,155,63.79,25.03,2,0,0,0.21,23,16,69.57,2.37,71,49,69.01,7.31,118,69,58.47,12.15,2,0,0,0.21,0,0,0,0,22,13,59.09,2.27,0,0,0,0,5,5,100,0.51,728,487,66.9,74.97,18,12,66.67,1.85,57,29,50.88,5.87,122,91,74.59,12.56,463,318,68.68,47.68,1,0,0,0.1,1,0,0,0.1,49,25,51.02,5.05,0,0,0,0,17,11,64.71,1.75, 
Connecticut,1145,814,71.09,24,15,62.5,2.1,90,47,52.22,7.86,354,251,70.9,30.92,550,402,73.09,48.03,1,0,0,0.09,2,0,0,0.17,63,49,77.78,5.5,0,0,0,0,61,48,78.69,5.33,311,223,71.7,27.16,8,7,87.5,0.7,17,8,47.06,1.48,119,86,72.27,10.39,126,90,71.43,11,0,0,0,0,0,0,0,0,22,15,68.18,1.92,0,0,0,0,19,17,89.47,1.66,832,590,70.91,72.66,16,8,50,1.4,73,39,53.42,6.38,233,164,70.39,20.35,424,312,73.58,37.03,1,0,0,0.09,2,0,0,0.17,41,34,82.93,3.58,0,0,0,0,42,31,73.81,3.67, 
Delaware,230,90,39.13,28,7,25,12.17,17,4,23.53,7.39,55,39,70.91,23.91,101,32,31.68,43.91,0,0,0,0,0,0,0,0,19,5,26.32,8.26,0,0,0,0,10,3,30,4.35,48,20,41.67,20.87,9,2,22.22,3.91,2,0,0,0.87,15,12,80,6.52,16,2,12.5,6.96,0,0,0,0,0,0,0,0,2,0,0,0.87,0,0,0,0,4,0,0,1.74,182,70,38.46,79.13,19,5,26.32,8.26,15,3,20,6.52,40,27,67.5,17.39,85,30,35.29,36.96,0,0,0,0,0,0,0,0,17,4,23.53,7.39,0,0,0,0,6,1,16.67,2.61, 
District-of-Columbia,169,96,56.8,49,6,12.24,28.99,17,8,47.06,10.06,15,12,80,8.88,61,56,91.8,36.09,0,0,0,0,1,0,0,0.59,13,7,53.85,7.69,0,0,0,0,13,7,53.85,7.69,46,15,32.61,27.22,21,0,0,12.43,8,1,12.5,4.73,4,0,0,2.37,8,7,87.5,4.73,0,0,0,0,0,0,0,0,3,0,0,1.78,0,0,0,0,2,0,0,1.18,123,81,65.85,72.78,28,6,21.43,16.57,9,7,77.78,5.33,11,8,72.73,6.51,53,49,92.45,31.36,0,0,0,0,1,0,0,0.59,10,5,50,5.92,0,0,0,0,11,6,54.55,6.51, 
Florida,3228,1748,54.15,182,64,35.16,5.64,888,438,49.32,27.51,647,408,63.06,20.04,1228,690,56.19,38.04,4,0,0,0.12,13,6,46.15,0.4,148,75,50.68,4.58,0,0,0,0,118,67,56.78,3.66,758,372,49.08,23.48,54,20,37.04,1.67,187,79,42.25,5.79,216,127,58.8,6.69,237,113,47.68,7.34,2,0,0,0.06,1,0,0,0.03,35,17,48.57,1.08,0,0,0,0,26,16,61.54,0.81,2462,1371,55.69,76.27,128,44,34.38,3.97,697,358,51.36,21.59,429,279,65.03,13.29,990,576,58.18,30.67,2,0,0,0.06,12,6,50,0.37,112,57,50.89,3.47,0,0,0,0,92,51,55.43,2.85, 
Georgia,2461,1378,55.99,234,71,30.34,9.51,245,89,36.33,9.96,866,540,62.36,35.19,941,574,61,38.24,4,0,0,0.16,6,4,66.67,0.24,110,68,61.82,4.47,0,0,0,0,55,31,56.36,2.23,636,329,51.73,25.84,78,25,32.05,3.17,79,29,36.71,3.21,262,154,58.78,10.65,183,102,55.74,7.44,0,0,0,0,0,0,0,0,21,12,57.14,0.85,0,0,0,0,13,7,53.85,0.53,1818,1046,57.54,73.87,156,46,29.49,6.34,166,60,36.14,6.75,604,386,63.91,24.54,752,469,62.37,30.56,4,0,0,0.16,6,4,66.67,0.24,88,56,63.64,3.58,0,0,0,0,42,24,57.14,1.71, 
Hawaii,168,74,44.05,0,0,0,0,16,6,37.5,9.52,81,49,60.49,48.21,21,6,28.57,12.5,4,0,0,2.38,1,0,0,0.6,42,12,28.57,25,0,0,0,0,3,0,0,1.79,39,19,48.72,23.21,0,0,0,0,3,0,0,1.79,24,14,58.33,14.29,2,0,0,1.19,0,0,0,0,0,0,0,0,9,1,11.11,5.36,0,0,0,0,1,0,0,0.6,129,55,42.64,76.79,0,0,0,0,13,4,30.77,7.74,57,35,61.4,33.93,19,4,21.05,11.31,4,0,0,2.38,1,0,0,0.6,33,11,33.33,19.64,0,0,0,0,2,0,0,1.19, 
Idaho,189,132,69.84,1,0,0,0.53,11,9,81.82,5.82,28,22,78.57,14.81,130,87,66.92,68.78,0,0,0,0,0,0,0,0,11,8,72.73,5.82,0,0,0,0,8,6,75,4.23,48,36,75,25.4,0,0,0,0,2,0,0,1.06,13,11,84.62,6.88,26,17,65.38,13.76,0,0,0,0,0,0,0,0,3,0,0,1.59,0,0,0,0,4,0,0,2.12,141,96,68.09,74.6,1,0,0,0.53,9,7,77.78,4.76,15,11,73.33,7.94,104,70,67.31,55.03,0,0,0,0,0,0,0,0,8,5,62.5,4.23,0,0,0,0,4,0,0,2.12, 
Illinois,3773,2479,65.7,117,29,24.79,3.1,458,131,28.6,12.14,1244,918,73.79,32.97,1565,1108,70.8,41.48,1,0,0,0.03,9,9,100,0.24,157,120,76.43,4.16,0,0,0,0,222,163,73.42,5.88,918,585,63.73,24.33,37,10,27.03,0.98,124,24,19.35,3.29,368,279,75.82,9.75,298,211,70.81,7.9,0,0,0,0,1,0,0,0.03,35,23,65.71,0.93,0,0,0,0,55,37,67.27,1.46,2850,1893,66.42,75.54,80,19,23.75,2.12,333,107,32.13,8.83,876,639,72.95,23.22,1265,897,70.91,33.53,1,0,0,0.03,8,8,100,0.21,122,97,79.51,3.23,0,0,0,0,165,125,75.76,4.37, 
Indiana,888,467,52.59,44,6,13.64,4.95,71,26,36.62,8,158,102,64.56,17.79,548,295,53.83,61.71,0,0,0,0,6,3,50,0.68,35,17,48.57,3.94,0,0,0,0,26,18,69.23,2.93,171,88,51.46,19.26,8,1,12.5,0.9,15,6,40,1.69,36,24,66.67,4.05,99,51,51.52,11.15,0,0,0,0,1,0,0,0.11,10,4,40,1.13,0,0,0,0,2,0,0,0.23,713,378,53.02,80.29,36,5,13.89,4.05,56,20,35.71,6.31,122,78,63.93,13.74,445,243,54.61,50.11,0,0,0,0,5,3,60,0.56,25,13,52,2.82,0,0,0,0,24,16,66.67,2.7, 
Iowa,247,182,73.68,14,8,57.14,5.67,8,7,87.5,3.24,50,38,76,20.24,160,121,75.62,64.78,0,0,0,0,1,0,0,0.4,8,4,50,3.24,0,0,0,0,6,3,50,2.43,59,48,81.36,23.89,1,0,0,0.4,2,0,0,0.81,21,18,85.71,8.5,32,25,78.12,12.96,0,0,0,0,0,0,0,0,1,0,0,0.4,0,0,0,0,2,0,0,0.81,187,133,71.12,75.71,13,8,61.54,5.26,6,5,83.33,2.43,29,20,68.97,11.74,127,95,74.8,51.42,0,0,0,0,1,0,0,0.4,7,3,42.86,2.83,0,0,0,0,4,0,0,1.62, 
Kansas,104,73,70.19,3,0,0,2.88,13,3,23.08,12.5,24,19,79.17,23.08,54,43,79.63,51.92,0,0,0,0,1,0,0,0.96,7,5,71.43,6.73,0,0,0,0,2,0,0,1.92,10,8,80,9.62,0,0,0,0,2,0,0,1.92,3,0,0,2.88,4,0,0,3.85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.96,93,64,68.82,89.42,3,0,0,2.88,11,2,18.18,10.58,21,17,80.95,20.19,49,38,77.55,47.12,0,0,0,0,1,0,0,0.96,7,5,71.43,6.73,0,0,0,0,1,0,0,0.96, 
Kentucky,430,224,52.09,8,3,37.5,1.86,22,8,36.36,5.12,73,47,64.38,16.98,289,145,50.17,67.21,0,0,0,0,0,0,0,0,21,13,61.9,4.88,0,0,0,0,17,8,47.06,3.95,101,60,59.41,23.49,1,0,0,0.23,3,0,0,0.7,21,14,66.67,4.88,67,37,55.22,15.58,0,0,0,0,0,0,0,0,5,4,80,1.16,0,0,0,0,4,0,0,0.93,326,161,49.39,75.81,7,3,42.86,1.63,18,4,22.22,4.19,52,33,63.46,12.09,220,106,48.18,51.16,0,0,0,0,0,0,0,0,16,9,56.25,3.72,0,0,0,0,13,6,46.15,3.02, 
Louisiana,291,103,35.4,50,4,8,17.18,23,4,17.39,7.9,38,28,73.68,13.06,155,63,40.65,53.26,1,0,0,0.34,0,0,0,0,17,4,23.53,5.84,0,0,0,0,7,0,0,2.41,71,16,22.54,24.4,15,1,6.67,5.15,7,1,14.29,2.41,9,4,44.44,3.09,31,10,32.26,10.65,0,0,0,0,0,0,0,0,6,0,0,2.06,0,0,0,0,3,0,0,1.03,218,87,39.91,74.91,35,3,8.57,12.03,16,3,18.75,5.5,29,24,82.76,9.97,122,53,43.44,41.92,1,0,0,0.34,0,0,0,0,11,4,36.36,3.78,0,0,0,0,4,0,0,1.37, 
Maine,94,57,60.64,2,0,0,2.13,5,4,80,5.32,22,14,63.64,23.4,57,35,61.4,60.64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,4,50,8.51,24,13,54.17,25.53,1,0,0,1.06,1,0,0,1.06,6,4,66.67,6.38,15,8,53.33,15.96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1.06,70,44,62.86,74.47,1,0,0,1.06,4,0,0,4.26,16,10,62.5,17.02,42,27,64.29,44.68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,4,57.14,7.45, 
Maryland,2204,1386,62.89,262,84,32.06,11.89,156,73,46.79,7.08,689,513,74.46,31.26,869,557,64.1,39.43,1,0,0,0.05,7,3,42.86,0.32,131,84,64.12,5.94,0,0,0,0,89,72,80.9,4.04,589,377,64.01,26.72,65,21,32.31,2.95,34,13,38.24,1.54,244,178,72.95,11.07,186,112,60.22,8.44,0,0,0,0,1,0,0,0.05,27,23,85.19,1.23,0,0,0,0,32,29,90.62,1.45,1609,1004,62.4,73,196,62,31.63,8.89,122,60,49.18,5.54,445,335,75.28,20.19,681,443,65.05,30.9,1,0,0,0.05,6,2,33.33,0.27,104,61,58.65,4.72,0,0,0,0,54,41,75.93,2.45, 
